State,GDP_2023
United States,27720709
New England ,1410687
Connecticut,345912
Maine ,93270
Massachusetts ,736296
New Hampshire ,114101
Rhode Island ,77574
Vermont ,43534
Mideast ,4745213
Delaware ,98069
District of Columbia ,176502
Maryland ,515607
New Jersey,806665
New York,2172010
Pennsylvania ,976361
Great Lakes ,3584949
Illinois ,1098346
Indiana,499503
Michigan ,673818
Ohio ,884834
Wisconsin ,428447
Plains ,1726903
Iowa ,254032
Kansas,228232
Minnesota ,483162
Missouri ,430114
Nebraska,181285
North Dakota ,76043
South Dakota ,74034
Southeast ,6122627
Alabama ,304936
Arkansas,178606
Florida ,1600811
Georgia ,831828
Kentucky,279707
Louisiana ,314989
Mississippi ,151147
North Carolina ,788103
South Carolina ,327420
Tennessee ,523032
Virginia ,719897
West Virginia ,102152
Southwest ,3498332
Arizona ,522767
New Mexico,135010
Oklahoma,256689
Texas,2583866
Rocky Mountain ,1057159
Colorado ,529627
Idaho ,120958
Montana ,73255
Utah ,281329
Wyoming ,51991
Far West,5421428
Alaska ,68056
California ,3870379
Hawaii ,110265
Nevada,245979
Oregon ,318884
Washington,807865
Overseas activity2,153412
