State,Median Household Income,Preceding Period,Year Ago from Period
The United States,80610,77540,77540
Alabama,60660,62290,62290
Alaska,98190,93310,93310
Arizona,82660,76370,76370
Arkansas,63250,56120,56120
California,89870,88690,88690
Colorado,96640,93510,93510
Connecticut,92240,94340,94340
Delaware,86340,83960,83960
District of Columbia,111000,105700,105700
Florida,72200,67960,67960
Georgia,72420,70420,70420
Hawaii,97360,94620,94620
Idaho,73910,75460,75460
Illinois,87820,81120,81120
Indiana,76910,72810,72810
Iowa,80860,79350,79350
Kansas,84830,75950,75950
Kentucky,61980,58090,58090
Louisiana,57650,60640,60640
Maine,75740,78150,78150
Maryland,102000,112500,112500
Massachusetts,106500,97260,97260
Michigan,76960,71730,71730
Minnesota,90340,93980,93980
Mississippi,55060,50540,50540
Missouri,78290,74360,74360
Montana,79220,75870,75870
Nebraska,89190,81480,81480
Nevada,81310,75200,75200
New Hampshire,98780,88350,88350
New Jersey,91590,96010,96010
New Mexico,60980,58660,58660
New York,81600,78920,78920
North Carolina,68610,67660,67660
North Dakota,76960,81840,81840
Ohio,73770,70200,70200
Oklahoma,67330,65960,65960
Oregon,88740,90230,90230
Pennsylvania,79820,75070,75070
Rhode Island,81860,83860,83860
South Carolina,69100,64220,64220
South Dakota,81740,69850,69850
Tennessee,72700,67980,67980
Texas,79060,77600,77600
Utah,101200,99610,99610
Vermont,85190,75060,75060
Virginia,96490,88550,88550
Washington,93440,92980,92980
West Virginia,60410,54540,54540
Wisconsin,79690,76240,76240
Wyoming,77200,76000,76000
